Model,SeriesID,SeriesName,Frequency,Block-Global,Block-Consumption,Block-Invstestment,Block-Exprtort,Block-Nominal,Block-Labor,Block-riskapp,Transformation,Units,Category,Release,note,"Model Production","Model Investment","Model Consumption",구분,데이터이름
1,KODBLNHSA,"South Korea, Deposit Money Banks Housing Loans, KRW",m,1,1,0,0,1,0,0,chg,"￦, Billions",Finance,45,,0,0,1,금융,예금취급기관 주택담보대출(원)
1,KODBLNEQA,"South Korea, Loans With Combs and SBS, Equipment, KRW",m,1,0,1,0,1,0,0,chg,"￦, Billions",Finance,45,,0,1,0,금융,여신금융·상호금융 설비자금대출
1,KODBLNSPA,"South Korea, Loans With Combs and SBS, Operation, KRW",m,1,0,0,0,1,0,0,chg,"￦, Billions",Finance,45,,0,0,0,금융,여신금융·상호금융 운전자금대출
1,KOLRLTCO,"Lending Rates, Loans to Corporations (On New Lending), Average",m,1,0,1,0,0,0,1,chg,"Percent, Annual",Finance,30,,0,1,0,금융,기업대출금리(신규취급분)
1,KOLRLTHH,"Lending Rates, Loans to Households (On New Lending), Average",m,1,0,0,0,0,0,1,chg,"Percent, Annual",Finance,30,,0,0,1,금융,가계대출금리(신규취급분)
1,KOGDP...D,"GDP, Constant Prices",q,1,0,0,0,0,0,0,cha,"Chained W, Billions",Macro,25,,0,0,0,산업생산,실질 GDP
1,KOCNPER.D,"Consumption, Private",q,1,1,0,0,0,0,0,cha,"Chained W, Billions",Macro,25,,0,0,0,소비/지출,민간소비
1,KOCNGOV.D,"Consumption, General Government",q,1,0,0,0,0,0,0,cha,"Chained W, Billions",Macro,25,,0,0,0,소비/지출,정부소비
1,KOGFCF..D,"Gross Capital Formation, Fixed",q,1,0,1,0,0,0,0,cha,"Chained W, Billions",Macro,25,,0,0,0,설비투자,고정자본형성
1,KOGCFCNSD,"Gross Capital Formation, Construction,",q,1,0,1,0,0,0,0,cha,"Chained W, Billions",Macro,25,,0,0,0,건설,건설투자
1,KOGCFFNVD,"Gross Capital Formation, Machinery and Equipment",q,1,0,1,0,0,0,0,cha,"Chained W, Billions",Macro,25,,0,0,0,설비투자,기계 및 장비투자
1,KOEXNGS.D,"Exports, Goods and Services",q,1,0,0,1,0,0,0,cha,"Chained W, Billions",Macro,25,,0,0,0,수출입,수출
1,KOIMNGS.D,"Imports, Goods and Services",q,1,0,0,0,0,0,0,cha,"Chained W, Billions",Macro,25,,0,0,0,수출입,수입
